k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  6.104131261968571919  N\A                   35.60493936809240267  N\A                   N\A                   N\A    N\A  
    1  -16.1377181773475975  -22.2418494393161694  30.14227335369222871  0.686781938383981938  0.019288951212186194      5      5
    2  -92.7921172918616434  -76.6543991145140495  22.05748905153230055  4.739145923595853737  1.000000000000000000      1      1
    3  -139.203508125198908  -46.4113908333372648  9.101988218469337255  5.202389426202054245  1.000000000000000000      1      1
    4  -153.517747178633953  -14.3142390534350454  5.897216487826970166  2.555283702613637686  1.000000000000000000      1      1
    5  -165.240153379238904  -11.7224062006049507  3.657472088248761465  4.351124205937005662  1.000000000000000000      1      1
    6  -170.647377313451244  -5.40722393421233959  2.784200232455910750  2.225720037235397352  1.000000000000000000      1      1
    7  -171.713738721218931  -1.06636140776768684  2.828459106051004923  4.245911213953041496  1.000000000000000000      1      1
    8  -173.778367367668124  -2.06462864644919363  1.049983119170023515  1.289638232561546082  1.000000000000000000      1      1
    9  -174.265053604389208  -0.48668623672108424  0.672088192471514744  0.730738660555005692  1.000000000000000000      1      1
   10  -174.668276608068850  -0.40322300367964203  0.718996681860848196  0.966489351062051804  1.000000000000000000      1      1
   11  -175.083075119357431  -0.41479851128858058  1.181681504013730288  2.284643353641261587  1.000000000000000000      1      1
   12  -175.467004080593824  -0.38392896123639275  0.951822035393097509  0.998282739300209276  1.000000000000000000      1      1
   13  -175.774491303097676  -0.30748722250385185  0.609319829426031689  0.640531688615105343  1.000000000000000000      1      1
   14  -176.096267823070860  -0.32177651997318434  0.601631137897881806  1.634148790190661504  1.000000000000000000      1      1
   15  -176.365333414313653  -0.26906559124279283  0.615114654445841457  1.570570093719501292  1.000000000000000000      1      1
   16  -176.565558259170558  -0.20022484485690483  0.604933759910800894  1.414234538684558062  1.000000000000000000      1      1
   17  -176.727012575075661  -0.16145431590510384  0.366575332361260275  0.638962129839084291  1.000000000000000000      1      1
   18  -176.846900116369880  -0.11988754129421863  0.341707777723877392  0.684923717607668680  1.000000000000000000      1      1
   19  -176.988462828576160  -0.14156271220628013  0.456607949544799718  1.310482573842417508  1.000000000000000000      1      1
   20  -177.113966420446644  -0.12550359187048343  0.482490012019100411  1.616774766566129839  1.000000000000000000      1      1
   21  -177.237107939523298  -0.12314151907665404  0.313133680742763431  0.718099585747797419  1.000000000000000000      1      1
   22  -177.361402189991906  -0.12429425046860842  0.280446054353218454  1.325991635979979710  1.000000000000000000      1      1
   23  -177.437217353698429  -0.07581516370652252  0.370980033452478707  1.269716498579654961  1.000000000000000000      1      1
   24  -177.517220136751262  -0.08000278305283359  0.231167023834960710  1.115312813518724688  1.000000000000000000      1      1
   25  -177.591659310075641  -0.07443917332437877  0.175597502149007905  1.777699330192225035  1.000000000000000000      1      1
   26  -177.629205775969126  -0.03754646589348453  0.231797050951175143  1.301357905133332604  1.000000000000000000      1      1
   27  -177.661862617865551  -0.03265684189642570  0.147055947913435763  0.697606163033349324  1.000000000000000000      1      1
   28  -177.693781340234608  -0.03191872236905624  0.133051601388828155  0.971826244969967389  1.000000000000000000      1      1
   29  -177.719119311038724  -0.02533797080411659  0.194275420092958894  0.900358876316359468  1.000000000000000000      1      1
   30  -177.746617837171385  -0.02749852613266057  0.144177404598875014  0.770161328034328351  1.000000000000000000      1      1
   31  -177.777928392678688  -0.03131055550730366  0.122247225783194149  0.969311151594632103  1.000000000000000000      1      1
   32  -177.803098514807714  -0.02517012212902614  0.146108731266069186  0.915643730105361597  1.000000000000000000      1      1
   33  -177.823610963507888  -0.02051244870017399  0.107971350788283224  0.572765531403279903  1.000000000000000000      1      1
   34  -177.841430603141475  -0.01781963963358634  0.094328455859129412  0.617777085512007828  1.000000000000000000      1      1
   35  -177.855784052785736  -0.01435344964426121  0.105407028522931892  0.605995397293528026  1.000000000000000000      1      1
   36  -177.870182687418520  -0.01439863463278356  0.089176102300154797  0.553271645184147953  1.000000000000000000      1      1
   37  -177.884539904233406  -0.01435721681488644  0.090396156825150508  0.732909915482475859  1.000000000000000000      1      1
   38  -177.894464010485336  -0.00992410625192974  0.086341182513829037  0.497479828244494937  1.000000000000000000      1      1
   39  -177.901701319035737  -0.00723730855040116  0.060585332848528003  0.248795810465331890  1.000000000000000000      1      1
   40  -177.907707464103253  -0.00600614506751639  0.053459581837427175  0.315054880255704050  1.000000000000000000      1      1
   41  -177.911859391935564  -0.00415192783231077  0.062238983193520086  0.304879526837905145  1.000000000000000000      1      1
   42  -177.916222060223844  -0.00436266828828024  0.048223590751957486  0.287400101606447022  1.000000000000000000      1      1
   43  -177.921036530285107  -0.00481447006126245  0.057090912258972094  0.425935008784686708  1.000000000000000000      1      1
   44  -177.924661180134052  -0.00362464984894472  0.062364785412671992  0.356182886062544057  1.000000000000000000      1      1
   45  -177.927580530235502  -0.00291935010145039  0.041034458486129826  0.179617730638953615  1.000000000000000000      1      1
   46  -177.930585568867201  -0.00300503863169865  0.035839415074721756  0.268646473389625994  1.000000000000000000      1      1
   47  -177.933165912217333  -0.00258034335013235  0.045334707293972834  0.298486990333288793  1.000000000000000000      1      1
   48  -177.936696728035570  -0.00353081581823744  0.041562571764054846  0.488091511402045763  1.000000000000000000      1      1
   49  -177.939581419212430  -0.00288469117685963  0.059950973172525623  0.515508425302571793  1.000000000000000000      1      1
   50  -177.942575369976566  -0.00299395076413588  0.038484566583966456  0.255711855614840000  1.000000000000000000      1      1
   51  -177.945256957226348  -0.00268158724978206  0.034219189621514635  0.244661842428680359  1.000000000000000000      1      1
   52  -177.946865418124843  -0.00160846089849542  0.059082341884190904  0.284324903475838608  1.000000000000000000      1      1
   53  -177.948670991438461  -0.00180557331361796  0.031645573952278807  0.209049540495565094  1.000000000000000000      1      1
   54  -177.949948776451662  -0.00127778501320108  0.028569660872792220  0.128869273511271503  1.000000000000000000      1      1
   55  -177.951516865818689  -0.00156808936702645  0.032578334457842000  0.210938662548774275  1.000000000000000000      1      1
   56  -177.953380934338952  -0.00186406852026266  0.053106914051399486  0.380929268084929717  1.000000000000000000      1      1
   57  -177.955273353150857  -0.00189241881190582  0.026919667299004371  0.276891589988774167  1.000000000000000000      1      1
   58  -177.956324994211314  -0.00105164106045663  0.019281410209477028  0.103363991780476116  1.000000000000000000      1      1
   59  -177.957344355214559  -0.00101936100324451  0.025044361815761910  0.178823758804487337  1.000000000000000000      1      1
   60  -177.958116645116604  -0.00077228990204503  0.034452966454248910  0.219927644892371709  1.000000000000000000      1      1
   61  -177.958927034380565  -0.00081038926396104  0.020362301727963445  0.098744830499164465  1.000000000000000000      1      1
   62  -177.959795664222411  -0.00086862984184676  0.017614883676287221  0.219542302667225630  1.000000000000000000      1      1
   63  -177.960299846805185  -0.00050418258277318  0.019828188560571870  0.116162983816291365  1.000000000000000000      1      1
   64  -177.961168703313830  -0.00086885650864587  0.023680527344123052  0.285416089865290711  1.000000000000000000      1      1
   65  -177.961769546473249  -0.00060084315941821  0.027324219166932270  0.275798825970177574  1.000000000000000000      1      1
   66  -177.962302165719961  -0.00053261924671232  0.016705306401943120  0.053044777040711553  1.000000000000000000      1      1
   67  -177.962816599059749  -0.00051443333978795  0.015694705817204186  0.091636578273304500  1.000000000000000000      1      1
   68  -177.963247591049849  -0.00043099199010043  0.021502948628292935  0.198520670477500965  1.000000000000000000      1      1
   69  -177.963695780561948  -0.00044818951209890  0.015959165741975787  0.214576637167435912  1.000000000000000000      1      1
   70  -177.964009189122350  -0.00031340856040174  0.012396034458576496  0.119552168866503424  1.000000000000000000      1      1
   71  -177.964336000472627  -0.00032681135027701  0.013219655214510725  0.132837792416078792  1.000000000000000000      1      1
   72  -177.964739505399705  -0.00040350492707830  0.017887060664473448  0.178419675718111236  1.000000000000000000      1      1
   73  -177.965186793322601  -0.00044728792289561  0.018218296300086509  0.234737969437087079  1.000000000000000000      1      1
   74  -177.965547757094071  -0.00036096377147032  0.012123617233769810  0.112961956975200575  1.000000000000000000      1      1
   75  -177.965846424240965  -0.00029866714689319  0.011759035285442736  0.099486539794732750  1.000000000000000000      1      1
   76  -177.966128892090296  -0.00028246784933116  0.018498624901611186  0.141515933489497203  1.000000000000000000      1      1
   77  -177.966442339852136  -0.00031344776184027  0.016645710629164329  0.192465936686025185  1.000000000000000000      1      1
   78  -177.966735417832353  -0.00029307798021704  0.011948661327635197  0.159254270340324827  1.000000000000000000      1      1
   79  -177.967040174985356  -0.00030475715300326  0.012964305782814589  0.172647313100329019  1.000000000000000000      1      1
   80  -177.967386101426967  -0.00034592644161079  0.017665806814660019  0.214185940238440258  1.000000000000000000      1      1
   81  -177.967740145397783  -0.00035404397081606  0.012877641708705379  0.208594095173223748  1.000000000000000000      1      1
   82  -177.967995567280212  -0.00025542188242866  0.010283852628834948  0.121167506443120368  1.000000000000000000      1      1
   83  -177.968240193993949  -0.00024462671373726  0.011106680798325722  0.130153861718742602  1.000000000000000000      1      1
   84  -177.968479883368217  -0.00023968937426843  0.014688453189708574  0.178779368827241602  1.000000000000000000      1      1
   85  -177.968726669690198  -0.00024678632198060  0.009981297906229624  0.172703576840928296  1.000000000000000000      1      1
   86  -177.968919950194930  -0.00019328050473177  0.008778526384475793  0.154305928254892532  1.000000000000000000      1      1
   87  -177.969082310261683  -0.00016236006675285  0.010807554065198562  0.130076959200216668  1.000000000000000000      1      1
   88  -177.969257729461503  -0.00017541919982022  0.009425808684980172  0.135367750609041187  1.000000000000000000      1      1
   89  -177.969426850040775  -0.00016912057927243  0.009728688893035306  0.143762484838712928  1.000000000000000000      1      1
   90  -177.969578287582947  -0.00015143754217206  0.008494367953004610  0.104228277783196918  1.000000000000000000      1      1
   91  -177.969737129582654  -0.00015884199970628  0.008825554138597499  0.106213663423743220  1.000000000000000000      1      1
   92  -177.969868691527835  -0.00013156194518160  0.015583007368002405  0.187010764186223699  1.000000000000000000      1      1
   93  -177.969999274243747  -0.00013058271591148  0.008714551410764057  0.080434266017145067  1.000000000000000000      1      1
   94  -177.970072354125761  -0.00007307988201432  0.007183806603310334  0.035646241231349164  1.000000000000000000      1      1
   95  -177.970196829737091  -0.00012447561132944  0.006816824485967108  0.112966729563971413  1.000000000000000000      1      1
   96  -177.970259718796683  -0.00006288905959195  0.009540138505316481  0.091089992609854217  0.500000000000000000      2      2
   97  -177.970333558925688  -0.00007384012900502  0.005954930226456822  0.085085456836471493  1.000000000000000000      1      1
   98  -177.970407024341113  -0.00007346541542574  0.004891059219337023  0.095877495231632289  1.000000000000000000      1      1
   99  -177.970472312261335  -0.00006528792022209  0.006652528811193724  0.091242785571500867  1.000000000000000000      1      1
  100  -177.970542850825040  -0.00007053856370475  0.007712204138383698  0.109004415404245699  1.000000000000000000      1      1
  101  -177.970604135319945  -0.00006128449490461  0.007235927908373922  0.044941907459292350  1.000000000000000000      1      1
  102  -177.970664983100192  -0.00006084778024728  0.005698591725021994  0.036422086681643005  1.000000000000000000      1      1
  103  -177.970711622067597  -0.00004663896740453  0.005654492287206261  0.036325641117833817  1.000000000000000000      1      1
  104  -177.970768055690371  -0.00005643362277396  0.006186291570657335  0.076005669118522994  1.000000000000000000      1      1
  105  -177.970819557644631  -0.00005150195426040  0.004710020846620366  0.085697940082304288  1.000000000000000000      1      1
  106  -177.970865884236332  -0.00004632659170056  0.004739970795771279  0.079098069207592602  1.000000000000000000      1      1
  107  -177.970920356548447  -0.00005447231211519  0.005811133455447268  0.094316486222868298  1.000000000000000000      1      1
  108  -177.970983395236771  -0.00006303868832446  0.006465206221936878  0.106618314021138430  1.000000000000000000      1      1
  109  -177.971043445665173  -0.00006005042840229  0.005279570913077377  0.075458125299202663  1.000000000000000000      1      1
  110  -177.971093884699712  -0.00005043903453838  0.004851215677371866  0.054199085811242588  1.000000000000000000      1      1
  111  -177.971133824035206  -0.00003993933549395  0.004531632261874412  0.044540030198903374  1.000000000000000000      1      1
  112  -177.971176489719965  -0.00004266568475941  0.004366175074896347  0.065431052253604918  1.000000000000000000      1      1
  113  -177.971216613845967  -0.00004012412600218  0.006323108497052558  0.107598135054652752  1.000000000000000000      1      1
  114  -177.971254814338038  -0.00003820049207092  0.003999053576667819  0.069036621922326332  1.000000000000000000      1      1
  115  -177.971290754497573  -0.00003594015953467  0.003812664714531891  0.054164238519574817  1.000000000000000000      1      1
  116  -177.971324228163382  -0.00003347366580896  0.006785188164072072  0.082125548013935373  1.000000000000000000      1      1
  117  -177.971354171861435  -0.00002994369805264  0.004530420786199549  0.045253117822950855  1.000000000000000000      1      1
  118  -177.971373684024655  -0.00001951216322026  0.003229944949918925  0.015285095503177153  1.000000000000000000      1      1
  119  -177.971400531677033  -0.00002684765237859  0.003578577117893544  0.031415076399954694  1.000000000000000000      1      1
  120  -177.971428175678028  -0.00002764400099408  0.005225946771973227  0.060268501185336921  1.000000000000000000      1      1
  121  -177.971462702216854  -0.00003452653882618  0.004233292025401061  0.072414861269085056  1.000000000000000000      1      1
  122  -177.971508412316836  -0.00004571009998244  0.005288282421309938  0.120352090773365533  1.000000000000000000      1      1
  123  -177.971540639622901  -0.00003222730606466  0.006288011857450938  0.103414827519634086  1.000000000000000000      1      1
  124  -177.971567066406606  -0.00002642678370534  0.003808469824440978  0.014450987883240272  1.000000000000000000      1      1
  125  -177.971594651967819  -0.00002758556121307  0.003453702266702914  0.026317219556573255  1.000000000000000000      1      1
  126  -177.971620343271069  -0.00002569130325014  0.005288236618235667  0.050640097839404561  1.000000000000000000      1      1
  127  -177.971656150726289  -0.00003580745521958  0.003776318520695381  0.097502304018969629  1.000000000000000000      1      1
  128  -177.971682539724383  -0.00002638899809426  0.004104813414480082  0.085462836226075741  1.000000000000000000      1      1
  129  -177.971708077925200  -0.00002553820081629  0.003721149555827083  0.092809022009591651  1.000000000000000000      1      1
  130  -177.971728852997273  -0.00002077507207332  0.003267262836002070  0.027825499584031663  1.000000000000000000      1      1
  131  -177.971757042324128  -0.00002818932685499  0.003412588343245763  0.047406380378874742  1.000000000000000000      1      1
  132  -177.971781048475605  -0.00002400615147735  0.005205346982987863  0.068233444820699554  1.000000000000000000      1      1
  133  -177.971807142700527  -0.00002609422492128  0.003503008857503100  0.047256089641414006  1.000000000000000000      1      1
  134  -177.971841494932959  -0.00003435223243286  0.003409616537364460  0.101632067293831895  1.000000000000000000      1      1
  135  -177.971858580945422  -0.00001708601246264  0.004330780261230166  0.060691448804188301  1.000000000000000000      1      1
  136  -177.971877676430807  -0.00001909548538492  0.003168716233743158  0.040158854307919614  1.000000000000000000      1      1
  137  -177.971907598555077  -0.00002992212426988  0.003738303035553360  0.079698842938593014  1.000000000000000000      1      1
  138  -177.971925921426304  -0.00001832287122738  0.004271031043098483  0.059041359231991649  1.000000000000000000      1      1
  139  -177.971943165956645  -0.00001724453034057  0.003119372898462193  0.027151455505243005  1.000000000000000000      1      1
  140  -177.971970919862485  -0.00002775390584019  0.003595495572108494  0.075766335931936851  1.000000000000000000      1      1
  141  -177.971980653019130  -0.00000973315664509  0.005749477982044883  0.062024179196010893  1.000000000000000000      1      1
  142  -177.971993512550938  -0.00001285953180740  0.003060859683485058  0.005905122184133380  1.000000000000000000      1      1
  143  -177.972007713174434  -0.00001420062349666  0.002443058525199664  0.027947278257449074  1.000000000000000000      1      1
  144  -177.972018590846914  -0.00001087767248009  0.002831151719718005  0.032351926785071809  1.000000000000000000      1      1
  145  -177.972040909387260  -0.00002231854034562  0.003499516919281222  0.080079596349863557  1.000000000000000000      1      1
  146  -177.972048265556708  -0.00000735616944780  0.006539594662925075  0.050898121779746681  0.500000000000000000      2      1
  147  -177.972067415149240  -0.00001914959253213  0.002534518432131341  0.035761952922540543  1.000000000000000000      1      1
  148  -177.972076677968971  -0.00000926281973079  0.001986894653532426  0.018223103251748844  1.000000000000000000      1      1
  149  -177.972088394296548  -0.00001171632757746  0.003097985828287116  0.026701556292349087  1.000000000000000000      1      1
  150  -177.972103928922649  -0.00001553462610104  0.004677068535055308  0.065806637207692836  1.000000000000000000      1      1
  151  -177.972122224581937  -0.00001829565928801  0.003242917752250854  0.043879308359358673  1.000000000000000000      1      1
  152  -177.972139880717122  -0.00001765613518500  0.002516197859193475  0.047556212037050966  1.000000000000000000      1      1
  153  -177.972153662122252  -0.00001378140512997  0.003579997512580794  0.055328495697840505  1.000000000000000000      1      1
  154  -177.972166146277373  -0.00001248415512122  0.002718549787898394  0.045930030755605394  1.000000000000000000      1      1
  155  -177.972176080612769  -0.00000993433539520  0.002299981764549405  0.018756524542291850  1.000000000000000000      1      1
  156  -177.972196360706561  -0.00002028009379273  0.003711488065780386  0.063367089374023563  1.000000000000000000      1      1
  157  -177.972212394039360  -0.00001603333279831  0.003937905798458703  0.065084772120774458  1.000000000000000000      1      1
  158  -177.972228067944399  -0.00001567390503964  0.002972844990607406  0.034429469111415561  1.000000000000000000      1      1
  159  -177.972253526341233  -0.00002545839683421  0.003872676170180081  0.104842144940156034  1.000000000000000000      1      1
  160  -177.972263551539327  -0.00001002519809389  0.004365353905548942  0.056290034535239570  1.000000000000000000      1      1
  161  -177.972272555157019  -0.00000900361769140  0.002554538107109696  0.005414955607186133  1.000000000000000000      1      1
  162  -177.972287014681342  -0.00001445952432277  0.001942365144913975  0.029045596776611681  1.000000000000000000      1      1
  163  -177.972296475624403  -0.00000946094306186  0.002376947778837631  0.040902290006129653  1.000000000000000000      1      1
  164  -177.972317880222419  -0.00002140459801580  0.003917166494405717  0.087525918477619438  1.000000000000000000      1      1
  165  -177.972320635990769  -0.00000275576834951  0.007322236903725545  0.143012720504667983  1.000000000000000000      1      1
  166  -177.972342234368738  -0.00002159837796966  0.002041939687622752  0.032711017305868547  1.000000000000000000      1      1
  167  -177.972347563327360  -0.00000532895862193  0.001877802398698313  0.007156126166316811  1.000000000000000000      1      1
  168  -177.972358959076956  -0.00001139574959552  0.002557372131621948  0.023770543512090049  1.000000000000000000      1      1
  169  -177.972373996679550  -0.00001503760259424  0.003704658753390761  0.050756617233638466  1.000000000000000000      1      1
  170  -177.972387649262316  -0.00001365258276564  0.003452274997034093  0.106654055966512395  1.000000000000000000      1      1
  171  -177.972398595283436  -0.00001094602112061  0.001988994370154397  0.021760537847713205  1.000000000000000000      1      1
  172  -177.972410988982176  -0.00001239369873928  0.002630813755377111  0.046702231077168719  1.000000000000000000      1      1
  173  -177.972418269154530  -0.00000728017235473  0.004370772702635323  0.036545430428471005  1.000000000000000000      1      1
  174  -177.972428514243262  -0.00001024508873115  0.003283840466408415  0.029782143013267523  1.000000000000000000      1      1
  175  -177.972446462031740  -0.00001794778847852  0.002365353714875285  0.066922372021458190  1.000000000000000000      1      1
  176  -177.972454670344092  -0.00000820831235159  0.003166085509910600  0.044236097761255026  1.000000000000000000      1      1
  177  -177.972464231985213  -0.00000956164112153  0.002899874783721284  0.030609559267595284  1.000000000000000000      1      1
  178  -177.972481808436583  -0.00001757645136990  0.003788084068331939  0.090100803128593601  1.000000000000000000      1      1
  179  -177.972489187536098  -0.00000737909951453  0.003744506743376386  0.063262722327350404  1.000000000000000000      1      1
  180  -177.972496361876579  -0.00000717434048169  0.001889368916419164  0.016531371215389067  1.000000000000000000      1      1
  181  -177.972503440359702  -0.00000707848312231  0.001688576036524827  0.007394149470631700  1.000000000000000000      1      1
  182  -177.972513933819584  -0.00001049345988235  0.002445997211316626  0.034953484979005189  1.000000000000000000      1      1
  183  -177.972530710526626  -0.00001677670704225  0.002954024123186213  0.071503857134768034  1.000000000000000000      1      1
  184  -177.972537474611101  -0.00000676408447475  0.006342836594198322  0.108715213604089602  0.500000000000000000      2      1
  185  -177.972558482928945  -0.00002100831784446  0.002558740003474850  0.066498109847523023  1.000000000000000000      1      1
  186  -177.972568714778560  -0.00001023184961468  0.001715408527914285  0.044749121204440488  1.000000000000000000      1      1
  187  -177.972578605541798  -0.00000989076323776  0.002047050616621625  0.050277117020608948  1.000000000000000000      1      1
  188  -177.972590576160172  -0.00001197061837387  0.003195976180597632  0.071028593728477376  1.000000000000000000      1      1
  189  -177.972603278312163  -0.00001270215199156  0.002647352346838604  0.097988816080685131  1.000000000000000000      1      1
  190  -177.972613012501511  -0.00000973418934790  0.002190564133187292  0.016019209361190445  1.000000000000000000      1      1
  191  -177.972623755717961  -0.00001074321644978  0.002268425768611267  0.023611379203439111  1.000000000000000000      1      1
  192  -177.972633119839656  -0.00000936412169494  0.002497385617311918  0.042785857460828490  1.000000000000000000      1      1
  193  -177.972647350125811  -0.00001423028615477  0.002590519546691338  0.108629569592230523  1.000000000000000000      1      1
  194  -177.972655876808317  -0.00000852668250672  0.003465136187691381  0.068824859324540063  1.000000000000000000      1      1
  195  -177.972663994704930  -0.00000811789661270  0.002391986791503969  0.014939741633447051  1.000000000000000000      1      1
