kwargs
    folder:              /dss/dssfs02/lwp-dss-0001/pn69yo/pn69yo-dss-0000/di67met/msc-data/C1/2020_09_20_08_38_53
    L:                   7
    chi:                 2
    g:                   3.5
    init:                ps
    max_iter:            5000
    contraction_method:  brute
    initial_state:       ps
    initial_noise:       True
    save_interval:       50

k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -11.1523525754809540  N\A                   21.74716508734309883  N\A                   N\A                   N\A    N\A  
    1  -74.9827488915443183  -63.8303963160633642  18.19298936445685654  3.999999999999999555  0.183932019825793713      3      3
    2  -141.833065484853875  -66.8503165933095573  10.34469202999762771  8.232691966699821506  1.000000000000000000      1      1
    3  -168.185877472519365  -26.3528119876654898  2.838221145796382405  6.765089041539891212  1.000000000000000000      1      1
    4  -171.483053878200394  -3.29717640568102865  1.357410434081117278  1.993801286627725488  1.000000000000000000      1      1
    5  -172.910917675060943  -1.42786379686054942  0.884282843718124489  1.838161005387122681  1.000000000000000000      1      1
    6  -173.863527602873659  -0.95260992781271625  0.858495507585994577  1.945501486097326537  1.000000000000000000      1      1
    7  -174.737703107234096  -0.87417550436043711  0.827272355047221075  2.730149813934168445  1.000000000000000000      1      1
    8  -175.241674176036042  -0.50397106880194542  0.849726498835284838  2.295425698830237060  1.000000000000000000      1      1
    9  -175.701455471673938  -0.45978129563789593  0.493770679716495297  0.946740152220570396  1.000000000000000000      1      1
   10  -176.031563486819891  -0.33010801514595300  0.433987977432371385  1.236936193135592887  1.000000000000000000      1      1
   11  -176.287775656168349  -0.25621216934845847  0.548194628107991133  1.703739393828631376  1.000000000000000000      1      1
   12  -176.497431383975026  -0.20965572780667685  0.437446204651979420  1.264995057380860821  1.000000000000000000      1      1
   13  -176.718686231251695  -0.22125484727666844  0.457565648669711333  1.556600686745930994  2.000000000000000000      2      2
   14  -176.880513636579081  -0.16182740532738648  0.361870271312183022  1.127275630628945757  1.000000000000000000      1      1
   15  -177.059402805188199  -0.17888916860911763  0.307330176380789965  1.452999996686802575  1.000000000000000000      1      1
   16  -177.244527598488190  -0.18512479329999109  0.368150367004262624  2.112905338950204381  1.000000000000000000      1      1
   17  -177.419065631117121  -0.17453803262893075  0.386822110740066338  3.023881746071511056  1.000000000000000000      1      1
   18  -177.545174809187869  -0.12610917807074883  0.228269954562248938  1.303209089481851101  1.000000000000000000      1      1
   19  -177.624394803785492  -0.07921999459762218  0.163787654319080544  1.342511484250972220  1.000000000000000000      1      1
   20  -177.666667648131067  -0.04227284434557532  0.157617839545846183  1.036412188091384356  1.000000000000000000      1      1
   21  -177.704991814129812  -0.03832416599874477  0.126558096024779048  1.172770824023309454  1.000000000000000000      1      1
   22  -177.738890354732234  -0.03389854060242214  0.123648917318112672  1.163737286541004056  1.000000000000000000      1      1
   23  -177.773356100723276  -0.03446574599104224  0.121632356504247668  1.006797029316446101  1.000000000000000000      1      1
   24  -177.810945076484330  -0.03758897576105368  0.118292031118854501  1.154585843224407604  1.000000000000000000      1      1
   25  -177.835358773167996  -0.02441369668366633  0.147349349994232770  1.282360351149552712  1.000000000000000000      1      1
   26  -177.853050659835446  -0.01769188666744980  0.070074545962978060  0.420493662139732049  1.000000000000000000      1      1
   27  -177.862345698073738  -0.00929503823829236  0.078124831270561967  0.411827795278199237  2.000000000000000000      2      2
   28  -177.872853433310041  -0.01050773523630255  0.091481353813719634  0.492642104666862756  2.000000000000000000      2      2
   29  -177.886131401756415  -0.01327796844637418  0.081314326946617013  0.880254450072551986  2.000000000000000000      2      2
   30  -177.897091674747201  -0.01096027299078627  0.081663979176457610  0.680833986155359505  2.000000000000000000      2      2
   31  -177.905700737137578  -0.00860906239037717  0.048048801659598655  0.467283129227301086  1.000000000000000000      1      1
   32  -177.911088535178521  -0.00538779804094247  0.039588751461220053  0.508231515740451889  1.000000000000000000      1      1
   33  -177.914529789193863  -0.00344125401534256  0.050556537665813382  0.531786144805308058  1.000000000000000000      1      1
   34  -177.919197903699654  -0.00466811450579029  0.046506101137184494  0.682805724351890130  2.000000000000000000      2      2
   35  -177.923569859553197  -0.00437195585354288  0.055725774937476664  0.388428787846012368  2.000000000000000000      2      2
   36  -177.928292122250212  -0.00472226269701536  0.050716555098451708  0.480893264492633143  2.000000000000000000      2      2
   37  -177.932368585655467  -0.00407646340525502  0.045732864280690059  0.491794131457535810  2.000000000000000000      2      2
   38  -177.934676405900177  -0.00230782024470954  0.029038791171019814  0.265428659038764669  1.000000000000000000      1      1
   39  -177.937490748750576  -0.00281434285039949  0.043943495819105872  0.683221876227128044  2.000000000000000000      2      2
   40  -177.940477171416659  -0.00298642266608339  0.056723028638999653  0.408669387621059365  2.000000000000000000      2      2
   41  -177.944099731783978  -0.00362256036731878  0.038585486515673360  0.386756477809664267  2.000000000000000000      2      2
   42  -177.946324341691990  -0.00222460990801209  0.028298509940954709  0.456595191861392524  2.000000000000000000      2      2
   43  -177.948009296994712  -0.00168495530272139  0.022467428790165173  0.402939144763029610  1.000000000000000000      1      1
   44  -177.949761635541619  -0.00175233854690759  0.025619508114589930  0.492099371384059014  1.000000000000000000      1      1
   45  -177.951217252253229  -0.00145561671160976  0.037091555577033093  0.563128347026111586  1.000000000000000000      1      1
