kwargs
    folder:              /dss/dssfs02/lwp-dss-0001/pn69yo/pn69yo-dss-0000/di67met/msc-data/C1/2020_09_20_08_38_53
    L:                   4
    chi:                 3
    g:                   3.5
    init:                ps
    max_iter:            5000
    contraction_method:  brute
    initial_state:       ps
    initial_noise:       True
    save_interval:       50

k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -0.51205747248825406  N\A                   7.316835891125126778  N\A                   N\A                   N\A    N\A  
    1  -35.2182135490174843  -34.7061560765292327  7.429289482218347728  8.000000000000000000  1.093368789329211221      4      4
    2  -52.2115027388530492  -16.9932891898355649  2.389503100388099543  10.22458517116245246  1.000000000000000000      1      1
    3  -55.4655109509090280  -3.25400821205597878  0.931284932057125036  2.584549129576672044  1.000000000000000000      1      1
    4  -56.3574010023514517  -0.89189005144242372  0.480785135216775794  1.556945576893523641  1.000000000000000000      1      1
    5  -56.7858937862198587  -0.42849278386840694  0.404863058380231621  1.497235030600068128  1.000000000000000000      1      1
    6  -57.1383597377009806  -0.35246595148112191  0.380375485473297580  1.915131247732192898  1.000000000000000000      1      1
    7  -57.3688639675518885  -0.23050422985090790  0.266333541731280043  1.891931398522326501  1.000000000000000000      1      1
    8  -57.4707991707370524  -0.10193520318516391  0.181669683182929586  0.811601149016916934  1.000000000000000000      1      1
    9  -57.5269451823148543  -0.05614601157780185  0.144852438504819186  0.595932851396067331  1.000000000000000000      1      1
   10  -57.5779869177153003  -0.05104173540044598  0.123951176585849295  0.810890825416057947  1.000000000000000000      1      1
   11  -57.6210471120024010  -0.04306019428710072  0.126058644298457478  0.989712179219761734  1.000000000000000000      1      1
   12  -57.6569649152541785  -0.03591780325177751  0.108956819462790385  0.771330562372357975  1.000000000000000000      1      1
   13  -57.6942078588190128  -0.03724294356483426  0.097464611799933167  1.003508899919000052  1.000000000000000000      1      1
   14  -57.7220445791990073  -0.02783672037999451  0.115713341163940733  1.248835266574563451  1.000000000000000000      1      1
   15  -57.7419299087603832  -0.01988532956137589  0.070217186177161286  0.664799843169793791  1.000000000000000000      1      1
   16  -57.7559079963298387  -0.01397808756945551  0.055910456698693079  0.653989229115975678  2.000000000000000000      2      2
   17  -57.7635593374795348  -0.00765134114969612  0.046564614276574781  0.514616087833607682  1.000000000000000000      1      1
   18  -57.7721618544869528  -0.00860251700741798  0.038285553976355760  0.665404193491010098  1.000000000000000000      1      1
   19  -57.7809801088469043  -0.00881825435995153  0.048800423026577936  0.786467873920867366  1.000000000000000000      1      1
   20  -57.7883011649955520  -0.00732105614864764  0.059017796266108160  1.093190774894781114  1.000000000000000000      1      1
   21  -57.7933401491163536  -0.00503898412080161  0.028683480787634486  0.279547434702548336  1.000000000000000000      1      1
   22  -57.7956343244545394  -0.00229417533818576  0.022785609336152673  0.217928631636515268  1.000000000000000000      1      1
   23  -57.7989238198719590  -0.00328949541741963  0.036249394542747330  0.591519886825978002  2.000000000000000000      2      2
   24  -57.8014225056425701  -0.00249868577061107  0.046391089104359961  0.465847713744638958  1.000000000000000000      1      1
   25  -57.8056639210807361  -0.00424141543816602  0.021602316060293350  0.446327080953076216  2.000000000000000000      2      2
   26  -57.8077703494287220  -0.00210642834798591  0.021619333316058805  0.728070331857316177  2.000000000000000000      2      2
   27  -57.8087847893767019  -0.00101443994797989  0.030323661328577968  0.488956020332711738  1.000000000000000000      1      1
   28  -57.8099183469093986  -0.00113355753269672  0.013525458502312367  0.077915201787743401  1.000000000000000000      1      1
   29  -57.8106586506941368  -0.00074030378473821  0.018206592815201327  0.140144404344780065  2.000000000000000000      2      2
   30  -57.8119734436035059  -0.00131479290936908  0.019935698418594709  0.344918684037795353  2.000000000000000000      2      2
   31  -57.8140289484708489  -0.00205550486734296  0.014446458726625205  0.709786829326482071  1.000000000000000000      1      1
   32  -57.8149568785091076  -0.00092793003825875  0.018914541535724544  0.482741798243397801  1.000000000000000000      1      1
   33  -57.8156459973693159  -0.00068911886020828  0.010365843113832179  0.345588546068819169  1.000000000000000000      1      1
   34  -57.8161192170172455  -0.00047321964792956  0.011636671575781252  0.178564166711212418  2.000000000000000000      2      2
   35  -57.8167598871291943  -0.00064067011194879  0.017288827032295759  0.246453566159890336  2.000000000000000000      2      2
   36  -57.8178357346802584  -0.00107584755106415  0.014354384891846046  0.470083970091280389  2.000000000000000000      2      2
   37  -57.8183903103691392  -0.00055457568888073  0.010320572134552943  0.363627041428832009  1.000000000000000000      1      1
   38  -57.8188012002635645  -0.00041088989442528  0.008302789052098986  0.383707167107701807  1.000000000000000000      1      1
   39  -57.8191220166626322  -0.00032081639906778  0.009278073465458299  0.354868936239298826  1.000000000000000000      1      1
   40  -57.8194355679197116  -0.00031355125707932  0.007496601397559906  0.163363984222924057  1.000000000000000000      1      1
   41  -57.8198310108566815  -0.00039544293696991  0.007866828858722628  0.199176643402990710  1.000000000000000000      1      1
   42  -57.8201508717710339  -0.00031986091435243  0.012492664441408106  0.313459267266382402  1.000000000000000000      1      1
   43  -57.8204448234308756  -0.00029395165984169  0.006260871944507209  0.174602243708594229  1.000000000000000000      1      1
   44  -57.8206169288497875  -0.00017210541891188  0.005296291227411957  0.149966155447845805  1.000000000000000000      1      1
   45  -57.8208848730099305  -0.00026794416014297  0.008859613807416571  0.498308794784009745  2.000000000000000000      2      2
   46  -57.8210318793206994  -0.00014700631076891  0.008610483116020192  0.151052959398550457  0.500000000000000000      2      2
   47  -57.8213660000431559  -0.00033412072245653  0.006771820741566465  0.397649269199861654  2.000000000000000000      2      2
   48  -57.8215121872999588  -0.00014618725680293  0.007201527723044854  0.200265480564837838  1.000000000000000000      1      1
   49  -57.8216495646114623  -0.00013737731150342  0.004667040600798180  0.131849965713606798  1.000000000000000000      1      1
   50  -57.8217746241614634  -0.00012505955000108  0.004981292877200955  0.127872915876687670  1.000000000000000000      1      1
   51  -57.8219395257679451  -0.00016490160648174  0.006273906462589842  0.208376447898793254  1.000000000000000000      1      1
   52  -57.8220910600536512  -0.00015153428570613  0.009026937010830222  0.421310231975744298  1.000000000000000000      1      1
   53  -57.8222338631469057  -0.00014280309325442  0.004214596763421038  0.104364069850688384  1.000000000000000000      1      1
   54  -57.8223054247556333  -0.00007156160872767  0.003617064112884474  0.095512985329350333  1.000000000000000000      1      1
   55  -57.8224015435835241  -0.00009611882789073  0.005870663329464017  0.279916533363968489  2.000000000000000000      2      2
   56  -57.8224708043138448  -0.00006926073032076  0.007754376467461254  0.172344253285218546  1.000000000000000000      1      1
   57  -57.8226057365496188  -0.00013493223577398  0.002947674452257569  0.163034401750517504  2.000000000000000000      2      2
   58  -57.8226722906928145  -0.00006655414319567  0.003871609589979557  0.224766515212830919  2.000000000000000000      2      2
   59  -57.8227213546488130  -0.00004906395599846  0.006404175349229997  0.187575112877053473  1.000000000000000000      1      1
   60  -57.8228086685280402  -0.00008731387922722  0.003659052874598341  0.089699512084904661  2.000000000000000000      2      2
   61  -57.8228562491597415  -0.00004758063170129  0.003025834912829517  0.048686018019143961  2.000000000000000000      2      2
   62  -57.8229455409962866  -0.00008929183654515  0.004998485301895164  0.172928298547517900  2.000000000000000000      2      2
