k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -4.29160206189330573  N\A                   8.584534618443180775  N\A                   N\A                   N\A    N\A  
    1  -21.8808393831845648  -17.5892373212912573  10.07747198006705424  1.999999999999999777  0.232977102300124833      2      2
    2  -49.3554621648058571  -27.4746227816212922  5.277003700184493162  26.09578092377411451  1.000000000000000000      1      1
    3  -55.0696905924386044  -5.71422842763274729  0.864036101298175651  11.15572617659371879  1.000000000000000000      1      1
    4  -55.9227673652044501  -0.85307677276584570  0.405279300486156734  1.447641965397477470  1.000000000000000000      1      1
    5  -56.3188812610462150  -0.39611389584176492  0.267293575955680762  1.543237794206748558  1.000000000000000000      1      1
    6  -56.6015362738272074  -0.28265501278099236  0.285893722612379941  1.590825357154816099  1.000000000000000000      1      1
    7  -57.0175443899389335  -0.41600811611172616  0.384565588760035770  4.594722036748592586  1.000000000000000000      1      1
    8  -57.2848506991144716  -0.26730630917553810  0.231163905336813718  2.371861056960555824  1.000000000000000000      1      1
    9  -57.4007492644904147  -0.11589856537594300  0.149125450350762134  0.785932467395683231  1.000000000000000000      1      1
   10  -57.5190254110494194  -0.11827614655900475  0.125069960984782485  1.810036610436559278  1.000000000000000000      1      1
   11  -57.5830732549289479  -0.06404784387952844  0.103566218555899827  1.216666157143264648  1.000000000000000000      1      1
   12  -57.6233818639485875  -0.04030860901963961  0.092314344985850463  1.145876700005379555  1.000000000000000000      1      1
   13  -57.6565832085450296  -0.03320134459644208  0.074645443943073278  0.916928125360135570  1.000000000000000000      1      1
   14  -57.6895460290229067  -0.03296282047787713  0.069215387769570480  1.039772490933637438  1.000000000000000000      1      1
   15  -57.7183071629918060  -0.02876113396889934  0.098142443586666308  1.460431878670949146  1.000000000000000000      1      1
   16  -57.7445184471717851  -0.02621128417997908  0.058543493931845526  1.094084477602675464  1.000000000000000000      1      1
   17  -57.7617525693179061  -0.01723412214612096  0.044107505792857659  0.758880205702513355  1.000000000000000000      1      1
   18  -57.7734162079882054  -0.01166363867029929  0.048466658262105770  1.008364806752468201  1.000000000000000000      1      1
   19  -57.7808131516068286  -0.00739694361862319  0.033400826310919326  0.802394829263185283  1.000000000000000000      1      1
   20  -57.7853579131612988  -0.00454476155447025  0.026835150569820585  0.280215877548129932  1.000000000000000000      1      1
   21  -57.7926167223114362  -0.00725880915013732  0.028657689232400192  0.688470117426457695  1.000000000000000000      1      1
   22  -57.7985544512941373  -0.00593772898270117  0.043257249693606975  1.067425073354467457  1.000000000000000000      1      1
   23  -57.8036158435113804  -0.00506139221724311  0.021893048404900278  0.508058838468372520  1.000000000000000000      1      1
   24  -57.8068341769502040  -0.00321833343882360  0.015825419898032464  0.467574723324978125  1.000000000000000000      1      1
   25  -57.8086822501023647  -0.00184807315216062  0.015477321388443649  0.370728544487763100  1.000000000000000000      1      1
   26  -57.8100624923975772  -0.00138024229521249  0.021573065303342929  0.489938038271287679  1.000000000000000000      1      1
   27  -57.8114693315764824  -0.00140683917890527  0.012879557759212017  0.158658442740943844  1.000000000000000000      1      1
   28  -57.8132483208878582  -0.00177898931137576  0.013914431549386823  0.367265511789491572  1.000000000000000000      1      1
   29  -57.8147404100714865  -0.00149208918362830  0.014005689590542469  0.448539359134902781  1.000000000000000000      1      1
   30  -57.8153413034048568  -0.00060089333337032  0.023479525448282401  0.426791153936836087  0.500000000000000000      2      1
   31  -57.8164397016709870  -0.00109839826613011  0.008228764839250604  0.315227936817869203  1.000000000000000000      1      1
   32  -57.8168128469004329  -0.00037314522944598  0.006675126087220607  0.111566300340703652  1.000000000000000000      1      1
   33  -57.8175015836365062  -0.00068873673607328  0.009950121229887674  0.260422415218073577  1.000000000000000000      1      1
   34  -57.8183359696578307  -0.00083438602132446  0.012289983222841714  0.384705373058115140  1.000000000000000000      1      1
   35  -57.8186874402008612  -0.00035147054303052  0.019268378512739957  0.424221173894603453  0.500000000000000000      2      1
   36  -57.8193281203837088  -0.00064068018284757  0.006606696128986884  0.191097153756932786  1.000000000000000000      1      1
   37  -57.8195208276427550  -0.00019270725904618  0.004661066872724248  0.076088244291828241  1.000000000000000000      1      1
   38  -57.8196973800602407  -0.00017655241748570  0.005606831597950064  0.088665661777878768  1.000000000000000000      1      1
   39  -57.8200524397756367  -0.00035505971539606  0.007414321123637880  0.208299955212370352  1.000000000000000000      1      1
   40  -57.8204474100420924  -0.00039497026645562  0.012739986526337102  0.472361854263287139  1.000000000000000000      1      1
