kwargs
    folder:              /dss/dssfs02/lwp-dss-0001/pn69yo/pn69yo-dss-0000/di67met/msc-data/C1/2020_09_20_08_38_53
    L:                   4
    chi:                 2
    g:                   3.5
    init:                ps
    max_iter:            5000
    contraction_method:  brute
    initial_state:       ps
    initial_noise:       True
    save_interval:       50

k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -7.59029454613973530  N\A                   13.46236157582903025  N\A                   N\A                   N\A    N\A  
    1  -37.4239852353836113  -29.8336906892438769  8.037695861459477342  3.999999999999999111  0.297124689265648000      3      3
    2  -51.0111504339499930  -13.5871651985663817  3.980978436089773531  3.687758284674470754  1.000000000000000000      1      1
    3  -55.3478140256619113  -4.33666359171191828  1.542479348679465234  2.104168584850143464  1.000000000000000000      1      1
    4  -56.3327623597751596  -0.98494833411324833  0.615265663824863695  1.228355733316811360  1.000000000000000000      1      1
    5  -56.7103942572767110  -0.37763189750155135  0.625284624861319637  1.328254905405744645  2.000000000000000000      2      2
    6  -56.9639317764015373  -0.25353751912482636  0.439573147913379591  0.968737395069034668  1.000000000000000000      1      1
    7  -57.0838499806270078  -0.11991820422547050  0.378912328135162068  0.906447757639902818  1.000000000000000000      1      1
    8  -57.1945152470272830  -0.11066526640027518  0.415822623775230160  0.698931305517789702  2.000000000000000000      2      2
    9  -57.3127926604226729  -0.11827741339538988  0.323785126273461620  0.865430585438173749  2.000000000000000000      2      2
   10  -57.3801517009060049  -0.06735904048333196  0.247426900554024220  0.534379943653248257  1.000000000000000000      1      1
   11  -57.4324399564988965  -0.05228825559289163  0.215615989487240811  0.419204373089286153  1.000000000000000000      1      1
   12  -57.4899972240002625  -0.05755726750136602  0.231426596875160123  0.746530024052499574  1.000000000000000000      1      1
   13  -57.5364273603857441  -0.04643013638548154  0.276729944396273297  0.869049027619853808  1.000000000000000000      1      1
   14  -57.5856062610834555  -0.04917890069771146  0.174565048826068741  0.448957547969165482  1.000000000000000000      1      1
   15  -57.6417573076407308  -0.05615104655727520  0.179117360780174456  0.919966485857790283  1.000000000000000000      1      1
   16  -57.6909039931630047  -0.04914668552227396  0.200242614683927538  1.308440325941741644  1.000000000000000000      1      1
   17  -57.7123508564750835  -0.02144686331207878  0.140513504816374562  0.621677371460599426  0.500000000000000000      2      2
   18  -57.7288981833989964  -0.01654732692391291  0.086240594100637987  0.414732948843068882  1.000000000000000000      1      1
   19  -57.7403803224878089  -0.01148213908881245  0.086098389891003920  0.421190776279190493  1.000000000000000000      1      1
   20  -57.7489482001371783  -0.00856787764936939  0.110158737994574068  0.466040564496274845  1.000000000000000000      1      1
   21  -57.7601276923384290  -0.01117949220125069  0.097307491903603327  0.680000977375845416  2.000000000000000000      2      2
   22  -57.7702140556828567  -0.01008636334442769  0.102402732574704960  0.472144495446205292  2.000000000000000000      2      2
   23  -57.7796493266618824  -0.00943527097902574  0.082024797638330759  0.440022279026033080  2.000000000000000000      2      2
   24  -57.7854866674727887  -0.00583734081090625  0.050478124674078465  0.308181044663731806  1.000000000000000000      1      1
   25  -57.7896773729658974  -0.00419070549310873  0.046529068915660970  0.300714875045982044  1.000000000000000000      1      1
   26  -57.7922026311993022  -0.00252525823340477  0.044554481679994067  0.195867179802356655  1.000000000000000000      1      1
   27  -57.7953172220581450  -0.00311459085884280  0.038882339512659423  0.243963851801664133  1.000000000000000000      1      1
   28  -57.7987890484669719  -0.00347182640882692  0.053713827375133978  0.366360847743331552  1.000000000000000000      1      1
   29  -57.8023134379516960  -0.00352438948472411  0.039513148752464102  0.269155455304483426  1.000000000000000000      1      1
   30  -57.8056736694630188  -0.00336023151132280  0.033727769367582871  0.352053268268883556  1.000000000000000000      1      1
   31  -57.8072795362776759  -0.00160586681465701  0.049308777017323050  0.402811177415625831  1.000000000000000000      1      1
   32  -57.8087449859249744  -0.00146544964729855  0.022130357183898718  0.105143114261082082  1.000000000000000000      1      1
   33  -57.8098466051010220  -0.00110161917604756  0.032057959284026403  0.198805412897229749  2.000000000000000000      2      2
