kwargs
    folder:              /dss/dssfs02/lwp-dss-0001/pn69yo/pn69yo-dss-0000/di67met/msc-data/C1/2020_09_20_08_38_53
    L:                   5
    chi:                 2
    g:                   3.5
    init:                ps
    max_iter:            5000
    contraction_method:  brute
    initial_state:       ps
    initial_noise:       True
    save_interval:       50

k      Energy                Energy change         Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  -10.3786905909885565  N\A                   14.63046505092676952  N\A                   N\A                   N\A    N\A  
    1  -47.4131926365183957  -37.0345020455298410  11.08169479011311864  4.000000000000000000  0.273402108960755119      3      3
    2  -74.5442079245883775  -27.1310152880699817  6.535942507028790871  5.406357689330069327  1.000000000000000000      1      1
    3  -86.0506782022442848  -11.5064702776559073  2.236553637531359495  4.509986564089091487  1.000000000000000000      1      1
    4  -87.9263192705609526  -1.87564106831666776  0.952600160208487922  1.621031839976793342  1.000000000000000000      1      1
    5  -88.4451851065984868  -0.51886583603753422  0.639416400749431401  0.938472691970887229  1.000000000000000000      1      1
    6  -88.8373383890946968  -0.39215328249620995  0.527092582380769836  1.071719259818545433  1.000000000000000000      1      1
    7  -89.1605395953214383  -0.32320120622674153  0.598412914977292764  1.602651505632176620  1.000000000000000000      1      1
    8  -89.3272887961290678  -0.16674920080762944  0.546776012724099258  1.155760977130261046  1.000000000000000000      1      1
    9  -89.4581620276821780  -0.13087323155311025  0.312512151416115602  0.411475098462251276  1.000000000000000000      1      1
   10  -89.6291114252695138  -0.17094939758733573  0.466616555117776610  1.399655446373454070  2.000000000000000000      2      2
   11  -89.8262475563551561  -0.19713613108564231  0.357724971978711669  1.295561265597041655  2.000000000000000000      2      2
   12  -89.9496457078050610  -0.12339815144990495  0.333074526538740589  1.116854116982010980  1.000000000000000000      1      1
   13  -90.0757205244465524  -0.12607481664149133  0.374615633130462921  1.466267324062874299  2.000000000000000000      2      2
   14  -90.1692201414307703  -0.09349961698421793  0.261056549297270401  0.809571964934663435  1.000000000000000000      1      1
   15  -90.2245806039773441  -0.05536046254657378  0.169142317361208244  0.539524971575300105  1.000000000000000000      1      1
   16  -90.2733187183503673  -0.04873811437302322  0.163495019294017662  0.760640292209942892  1.000000000000000000      1      1
   17  -90.3293343173768050  -0.05601559902643771  0.213131959371206824  1.364091424890818693  1.000000000000000000      1      1
   18  -90.3729283801459359  -0.04359406276913091  0.182421773380713886  1.458132454201176431  1.000000000000000000      1      1
   19  -90.4020864365734837  -0.02915805642754776  0.116525966884621245  0.578871400171322436  1.000000000000000000      1      1
   20  -90.4254656420040134  -0.02337920543052973  0.091670472907683084  0.671818473294285567  1.000000000000000000      1      1
   21  -90.4394271935505287  -0.01396155154651523  0.115715275903903430  0.680790538948958245  1.000000000000000000      1      1
   22  -90.4533324061556243  -0.01390521260509558  0.071211378270890829  0.542355247194692524  1.000000000000000000      1      1
   23  -90.4658924481133794  -0.01256004195775517  0.069823815174655828  0.622577021890335813  1.000000000000000000      1      1
   24  -90.4791868772211955  -0.01329442910781608  0.103308999545668384  0.851301233798198997  1.000000000000000000      1      1
   25  -90.4896471277516951  -0.01046025053049959  0.086426882335498639  0.712652262912259137  1.000000000000000000      1      1
