k      Overlap               Overlap change        Gradient Norm         Step distance         alpha                 # f    # df 
----------------------------------------------------------------------------------------------------------------------------------
    0  0.994360589317034304  N\A                   0.005307311222348919  N\A                   N\A                   N\A    N\A  
    1  0.996775141890281157  0.002414552573246853  0.003969934675361498  0.530731122234892271  100.0000000000000000      8      8
    2  0.998728864069270638  0.001953722178989480  0.006534379851234272  1.108643014747029864  0.500000000000000000      2      1
    3  0.999619168337834262  0.000890304268563624  0.002161588160160275  0.363899357066268303  0.500000000000000000      2      2
    4  0.999724667425882396  0.000105499088048133  0.000895876161910100  0.109660014222425106  1.000000000000000000      1      1
    5  0.999746794998341292  0.000022127572458896  0.000607561022458436  0.038125983595886654  1.000000000000000000      1      1
    6  0.999784355469705343  0.000037560471364050  0.000975868103521208  0.141720961682341772  2.000000000000000000      2      2
    7  0.999815153681868573  0.000030798212163229  0.000646614245583139  0.130299770601517844  2.000000000000000000      2      2
    8  0.999827921526455720  0.000012767844587147  0.000552611335749977  0.049836498609160478  1.000000000000000000      1      1
    9  0.999860990987807229  0.000033069461351509  0.001147587500223360  0.210176053267328938  4.000000000000000000      3      3
   10  0.999911679398868935  0.000050688411061705  0.000904110070116929  0.350784844049183142  2.000000000000000000      2      2
   11  0.999933183284413606  0.000021503885544671  0.000818166886794608  0.231388214467908193  1.000000000000000000      1      1
   12  0.999949351615676218  0.000016168331262611  0.000498545770325407  0.052381623177198480  2.000000000000000000      2      2
   13  0.999963887200578827  0.000014535584902608  0.000237276944802119  0.123003444210668819  2.000000000000000000      2      2
   14  0.999968488210970840  0.000004601010392013  0.000353981835318259  0.110484559413823082  1.000000000000000000      1      1
   15  0.999971147415634309  0.000002659204663468  0.000223118155500866  0.048366764270339222  1.000000000000000000      1      1
   16  0.999973414722868714  0.000002267307234404  0.000119832232431092  0.033272777253628101  2.000000000000000000      2      2
   17  0.999975773903147624  0.000002359180278910  0.000207179572467869  0.051065680565684154  2.000000000000000000      2      2
   18  0.999977621715523179  0.000001847812375554  0.000319011936988884  0.062337454126707096  1.000000000000000000      1      1
   19  0.999981567436842189  0.000003945721319009  0.000146067626369877  0.067743722704203326  2.000000000000000000      2      2
   20  0.999982796508630089  0.000001229071787900  0.000126729058702700  0.029480793960772497  1.000000000000000000      1      1
   21  0.999984489108777019  0.000001692600146929  0.000148639648877300  0.060449154221822794  1.000000000000000000      1      1
   22  0.999986027686190603  0.000001538577413584  0.000158944358768754  0.052741043202219756  1.000000000000000000      1      1
   23  0.999986986059822946  0.000000958373632342  0.000103052584779078  0.017872687243760239  1.000000000000000000      1      1
   24  0.999987829975072739  0.000000843915249792  0.000098201835046183  0.026592681808328043  1.000000000000000000      1      1
   25  0.999988375306197330  0.000000545331124590  0.000105164440056377  0.021447764635078709  1.000000000000000000      1      1
